datasetUuid,endpointType,startedCrawling,finishedCrawling,duration,finishReason,pagesCrawled,pagesFragmentedSuccessful,pagesFragmentedError,fragmentsEmitted,fragmentsReceived,rawOccurrencesPersistedNew,rawOccurrencesPersistedUpdated,rawOccurrencesPersistedUnchanged,rawOccurrencesPersistedError,fragmentsProcessed,verbatimOccurrencesPersistedSuccessful,verbatimOccurrencesPersistedError,interpretedOccurrencesPersistedSuccessful,interpretedOccurrencesPersistedError
http://gbrds.gbif.org/browse/agent?uuid=647e92fc-f762-11e1-a439-00145eb45e9a,BIOCASE,2013-04-09T10:57:06,2013-04-09T10:57:19,12,ABORT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://gbrds.gbif.org/browse/agent?uuid=a74b5718-227e-426b-b5a6-8ef24c572489,DWC_ARCHIVE_OCCURRENCE,2013-04-09T11:16:27,2013-04-09T11:17:31,63,ABORT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://gbrds.gbif.org/browse/agent?uuid=7182d6f0-9a7d-42e4-824f-cdce194bbff9,DWC_ARCHIVE_OCCURRENCE,2013-04-09T11:31:36,2013-04-09T11:31:39,3,NORMAL,1,0,1,0,0,0,0,0,0,0,0,0,0,0
http://gbrds.gbif.org/browse/agent?uuid=bf430ebb-7c5a-41dc-af5d-829f73cf7f33,DWC_ARCHIVE_OCCURRENCE,2013-04-09T11:55:11,2013-04-09T11:55:14,3,ABORT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://gbrds.gbif.org/browse/agent?uuid=4b3541f2-92e0-4cc6-bb10-a2a2ffe61c60,DWC_ARCHIVE_OCCURRENCE,2013-04-09T10:55:19,2013-04-09T10:55:21,1,NORMAL,1,0,1,0,0,0,0,0,0,0,0,0,0,0
http://gbrds.gbif.org/browse/agent?uuid=daacce49-b206-469b-8dc2-2257719f3afa,DWC_ARCHIVE_CHECKLIST,2013-04-09T11:31:52,2013-04-09T11:31:53,0,NORMAL,1,0,1,0,0,0,0,0,0,0,0,0,0,0
http://gbrds.gbif.org/browse/agent?uuid=f60aa56f-cbb7-4f55-8a6d-67288d5ba9b1,DWC_ARCHIVE_OCCURRENCE,2013-04-09T10:55:09,2013-04-09T10:55:10,0,NORMAL,1,1,0,2265,2265,2265,0,0,0,2265,2265,0,2265,0
http://gbrds.gbif.org/browse/agent?uuid=027e7308-c9e7-46c7-8d56-08e1d525b03b,DWC_ARCHIVE_OCCURRENCE,2013-04-09T10:55:19,2013-04-09T10:56:10,51,NORMAL,1,1,0,27988,27988,27988,0,0,0,27988,27988,0,27988,0
http://gbrds.gbif.org/browse/agent?uuid=de2c979b-b1f9-4e79-aa57-8e11166d5396,DWC_ARCHIVE_OCCURRENCE,2013-04-09T11:04:13,2013-04-09T11:04:14,1,ABORT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://gbrds.gbif.org/browse/agent?uuid=51e25910-c7b5-11de-b279-e8b0507c4765,DWC_ARCHIVE_OCCURRENCE,2013-04-09T10:55:11,2013-04-09T10:55:11,0,NORMAL,1,1,0,5913,5913,5913,0,0,0,5913,5913,0,5913,0
http://gbrds.gbif.org/browse/agent?uuid=ba6dfade-8351-47a1-92db-a3aaf5f6948a,DWC_ARCHIVE_OCCURRENCE,2013-04-09T11:39:16,2013-04-09T11:49:16,600,ABORT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://gbrds.gbif.org/browse/agent?uuid=eb0e6d40-024e-45cd-af5b-2127d43ee1de,DWC_ARCHIVE_OCCURRENCE,2013-04-09T10:55:08,2013-04-09T10:55:10,1,NORMAL,1,1,0,1798,1798,1798,0,0,0,1798,1798,0,1798,0
http://gbrds.gbif.org/browse/agent?uuid=a6058f47-15ae-412e-b316-912dd6e2ec9b,DWC_ARCHIVE_OCCURRENCE,2013-04-09T10:55:48,2013-04-09T10:55:50,1,NORMAL,1,1,0,8008,8008,8008,0,0,0,8008,8008,0,8008,0
http://gbrds.gbif.org/browse/agent?uuid=039c8737-cad1-406b-aaf0-a390d018a95a,DWC_ARCHIVE_CHECKLIST,2013-04-09T10:54:52,2013-04-09T10:54:54,1,NORMAL,1,0,1,0,0,0,0,0,0,0,0,0,0,0
http://gbrds.gbif.org/browse/agent?uuid=14208c55-2f2d-4195-8de5-1b6101964d6d,DWC_ARCHIVE_OCCURRENCE,2013-04-09T11:15:35,2013-04-09T11:15:35,0,ABORT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://gbrds.gbif.org/browse/agent?uuid=1515a2e8-572c-49a5-9cb1-e8933f3e1f12,DWC_ARCHIVE_CHECKLIST,2013-04-09T11:15:44,2013-04-09T11:16:32,48,NORMAL,1,0,1,0,0,0,0,0,0,0,0,0,0,0
http://gbrds.gbif.org/browse/agent?uuid=5d637678-cb64-4863-a12b-78b4e1a56628,DWC_ARCHIVE_OCCURRENCE,2013-04-09T11:14:11,2013-04-09T11:14:12,0,NORMAL,1,0,1,0,0,0,0,0,0,0,0,0,0,0
http://gbrds.gbif.org/browse/agent?uuid=65c9103f-2fbf-414b-9b0b-e47ca96c5df2,DWC_ARCHIVE_CHECKLIST,2013-04-09T10:55:08,2013-04-09T10:55:09,0,NORMAL,1,0,1,0,0,0,0,0,0,0,0,0,0,0
http://gbrds.gbif.org/browse/agent?uuid=84c7f198-f762-11e1-a439-00145eb45e9a,DWC_ARCHIVE_OCCURRENCE,2013-04-09T10:57:04,2013-04-09T10:57:05,0,NORMAL,1,1,0,7939,7939,7939,0,0,0,7939,7939,0,7939,0
http://gbrds.gbif.org/browse/agent?uuid=c585e6fb-fd76-426e-ae01-a32dc9de5689,DWC_ARCHIVE_OCCURRENCE,2013-04-09T10:55:29,2013-04-09T10:55:29,0,NORMAL,1,1,0,10533,10533,10533,0,0,0,10533,10533,0,10533,0
http://gbrds.gbif.org/browse/agent?uuid=00a0607f-fd7e-4268-9707-0f53aa265f1f,DWC_ARCHIVE_CHECKLIST,2013-04-09T11:34:38,2013-04-09T11:34:38,0,ABORT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://gbrds.gbif.org/browse/agent?uuid=1329753c-0537-451c-92a1-cddaa4534736,DWC_ARCHIVE_CHECKLIST,2013-04-09T11:25:26,2013-04-09T11:26:44,77,NORMAL,1,0,1,0,0,0,0,0,0,0,0,0,0,0
http://gbrds.gbif.org/browse/agent?uuid=45157d5f-7eb9-42b8-8d70-66482fdd912f,DWC_ARCHIVE_OCCURRENCE,2013-04-09T11:46:35,2013-04-09T11:46:35,0,NORMAL,1,0,1,0,0,0,0,0,0,0,0,0,0,0
http://gbrds.gbif.org/browse/agent?uuid=e0a61544-c923-4fd7-8ed1-9b692655cf6b,DWC_ARCHIVE_CHECKLIST,2013-04-09T11:20:14,2013-04-09T11:20:15,1,NORMAL,1,0,1,0,0,0,0,0,0,0,0,0,0,0
http://gbrds.gbif.org/browse/agent?uuid=2d59e5db-57ad-41ff-97d6-11f5fb264527,DWC_ARCHIVE_CHECKLIST,2013-04-09T11:16:36,2013-04-09T11:17:15,39,NORMAL,1,0,1,0,0,0,0,0,0,0,0,0,0,0
http://gbrds.gbif.org/browse/agent?uuid=2e38c085-1140-46b2-9fc3-c62fb18d56bf,DWC_ARCHIVE_CHECKLIST,2013-04-09T11:13:35,2013-04-09T11:13:36,0,ABORT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
